"Metabolite","type","Estimate_Age","p_value_Age","Estimate_Sex","p_value_Sex","Estimate_Metabolite","Std_Error_Metabolite","df_Metabolite","p_value_Metabolite","Singular_fit_Metabolite","FDR_Metabolite","Compound.Name","CASNumber","Number.Passed","Retention.Time","Measured.Retention.Time","Product.Mass","QualifierMass"
"M.28","DBP",-0.0196,0.8065,-0.7137,0.6725,0.0055,0.0138,61,0.6887,"TRUE",0.9759918,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","Insulin",-0.0219,0.7322,-0.468,0.7311,-9e-04,0.0111,75,0.9372,"TRUE",0.9996524,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","Chol_T",-0.3493,0.2096,-4.1336,0.4816,0.119,0.0394,60.28,0.003722,"FALSE",0.373035,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","TG",-0.2615,0.6181,-15.1613,0.1758,0.0305,0.0906,76,0.7375,"TRUE",0.9759918,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","LDL",-0.2854,0.1845,-3.6202,0.4242,0.0763,0.0357,68.99,0.03603,"FALSE",0.9337687,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","HDL",0.0031,0.9679,2.7175,0.09982,0.0347,0.0133,76,0.01116,"TRUE",0.7193843,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","CRP",0.0012,0.9512,-0.2701,0.5277,-0.0047,0.0035,75,0.1804,"TRUE",0.9457531,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","ApoB",-0.1392,0.4005,-3.3447,0.3436,0.0553,0.0225,58.72,0.0171,"FALSE",0.8505904,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","HDL_LDL",9e-04,0.419,0.0341,0.1354,0,2e-04,68.65,0.8189,"FALSE",0.9851732,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.28","Chol_T_HDL",-0.0048,0.4789,-0.3,0.0412,-4e-04,0.0011,70.18,0.6995,"FALSE",0.9759918,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.29","SBP",0.0498,0.7065,-2.8207,0.313,-0.0052,0.0204,61,0.7991,"TRUE",0.9851732,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","DBP",-0.0229,0.7744,-0.7765,0.6446,-0.0077,0.0123,61,0.5342,"TRUE",0.9759918,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","Insulin",-0.0389,0.5281,-0.5564,0.6698,-0.0238,0.0092,75,0.01197,"TRUE",0.7610417,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","Chol_T",-0.3175,0.2632,-4.6165,0.4399,0.0051,0.0385,76,0.8951,"FALSE",0.9956621,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","TG",-0.2566,0.6269,-15.3148,0.1718,-0.0023,0.0791,76,0.9768,"TRUE",0.9996524,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","LDL",-0.254,0.2379,-3.8674,0.3936,0.018,0.0321,76,0.5777,"TRUE",0.9759918,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","HDL",0.0018,0.9822,2.4971,0.144,-0.0118,0.012,76,0.3309,"TRUE",0.9457531,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","CRP",-0.0014,0.9455,-0.2532,0.5564,-0.0025,0.003,75,0.4118,"TRUE",0.9457531,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","ApoB",-0.1254,0.4466,-3.6569,0.2968,0.0054,0.0218,74.67,0.8055,"FALSE",0.9851732,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","HDL_LDL",6e-04,0.5311,0.0327,0.1269,-3e-04,2e-04,76,0.06165,"TRUE",0.9457531,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.29","Chol_T_HDL",-0.0039,0.5618,-0.2912,0.04357,0.0013,0.001,73.63,0.1797,"FALSE",0.9457531,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.3","SBP",0.053,0.6882,-2.8321,0.314,-0.0031,0.0327,61,0.9251,"TRUE",0.9996524,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","DBP",-0.02,0.8024,-0.6703,0.6925,0.0089,0.0198,61,0.6554,"TRUE",0.9759918,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","Insulin",-0.0248,0.6982,-0.6559,0.6352,-0.0114,0.0158,75,0.4723,"TRUE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","Chol_T",-0.2924,0.2871,-2.6515,0.6521,0.1188,0.0609,74.23,0.05486,"FALSE",0.9400567,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","TG",-0.1849,0.7147,-10.1956,0.3519,0.306,0.1251,76,0.01679,"TRUE",0.844293,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","LDL",-0.2484,0.2393,-2.5619,0.5728,0.0836,0.052,76,0.1121,"TRUE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","HDL",0.0055,0.9449,2.1811,0.2083,-0.0225,0.0198,76,0.2592,"TRUE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","CRP",0.0011,0.956,-0.1919,0.6622,0.003,0.005,75,0.5467,"TRUE",0.9759918,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","ApoB",-0.1058,0.5098,-2.1219,0.5396,0.089,0.0336,71.59,0.009983,"FALSE",0.6643053,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","HDL_LDL",7e-04,0.4681,0.0269,0.2294,-4e-04,2e-04,76,0.08196,"FALSE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.3","Chol_T_HDL",-0.0038,0.5479,-0.2191,0.112,0.0047,0.0015,75.95,0.003155,"FALSE",0.3573932,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.30","SBP",0.0648,0.6287,-2.7912,0.3172,-0.0132,0.0259,61,0.6117,"TRUE",0.9759918,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","DBP",-0.0093,0.9081,-0.7417,0.6593,-0.0103,0.0157,61,0.5126,"TRUE",0.9666729,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","Insulin",-0.0224,0.7262,-0.4551,0.738,0.0025,0.0123,75,0.8378,"TRUE",0.9851732,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","Chol_T",-0.3455,0.1713,-4.0928,0.4416,0.1871,0.0441,76,6.171e-05,"FALSE",0.0282389,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","TG",-0.2701,0.6042,-14.9894,0.1778,0.1047,0.1001,76,0.2993,"TRUE",0.9457531,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","LDL",-0.2864,0.1524,-3.5671,0.3991,0.13,0.0382,76,0.001071,"TRUE",0.2042786,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","HDL",0.0043,0.9573,2.6809,0.1244,0.0417,0.0148,75.63,0.0063,"FALSE",0.5307829,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","CRP",7e-04,0.9731,-0.2498,0.5627,-0.0021,0.0039,75,0.5972,"TRUE",0.9759918,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","ApoB",-0.1393,0.3716,-3.4067,0.3056,0.0839,0.026,74.21,0.001839,"FALSE",0.2879784,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","HDL_LDL",9e-04,0.405,0.0338,0.1317,-1e-04,2e-04,74.51,0.4712,"FALSE",0.9457531,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.30","Chol_T_HDL",-0.0049,0.4645,-0.2965,0.04389,5e-04,0.0013,74.65,0.6984,"FALSE",0.9759918,"C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.31","SBP",0.0449,0.7361,-2.7899,0.3178,-0.0103,0.0247,61,0.6773,"TRUE",0.9759918,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","DBP",-0.0331,0.678,-0.7259,0.663,-0.019,0.0148,61,0.2039,"TRUE",0.9457531,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","Insulin",-0.0271,0.6677,-0.5321,0.6916,-0.0172,0.0115,75,0.1368,"TRUE",0.9457531,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","Chol_T",-0.3341,0.2335,-4.7878,0.419,-0.0526,0.047,71.81,0.2665,"FALSE",0.9457531,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","TG",-0.2716,0.6038,-15.4936,0.1653,-0.0682,0.0949,76,0.4745,"TRUE",0.9459206,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","LDL",-0.2682,0.2114,-3.965,0.3826,-0.0028,0.0387,76,0.9426,"TRUE",0.9996524,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","HDL",0.0014,0.9855,2.4508,0.1356,-0.0377,0.0139,76,0.00843,"TRUE",0.6091505,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","CRP",9e-04,0.9633,-0.2359,0.5847,0.0018,0.0037,75,0.6198,"TRUE",0.9759918,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","ApoB",-0.1303,0.4297,-3.693,0.2943,-0.003,0.0272,73.09,0.9122,"FALSE",0.9996524,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","HDL_LDL",8e-04,0.459,0.0331,0.1302,-4e-04,2e-04,66.26,0.04099,"FALSE",0.9337687,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.31","Chol_T_HDL",-0.0041,0.517,-0.2892,0.03359,0.0031,0.0011,76,0.008499,"TRUE",0.6091505,"PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.32","SBP",0.0484,0.7094,-2.9022,0.2917,-0.0303,0.0211,61,0.1557,"TRUE",0.9457531,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","DBP",-0.0197,0.805,-0.7716,0.6472,-0.0062,0.013,61,0.6358,"TRUE",0.9759918,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","Insulin",-0.0338,0.59,-0.507,0.7025,-0.0181,0.0093,75,0.0545,"TRUE",0.9400567,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","Chol_T",-0.277,0.3082,-4.5612,0.4271,0.0731,0.0364,74.99,0.04798,"FALSE",0.9337687,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","TG",-0.2925,0.577,-15.3557,0.1685,-0.064,0.0771,76,0.4093,"TRUE",0.9457531,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","LDL",-0.2346,0.2649,-3.9114,0.3789,0.0559,0.0309,76,0.07402,"TRUE",0.9457531,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","HDL",0.029,0.709,2.5826,0.1223,0.0314,0.0113,75.88,0.006955,"FALSE",0.5583645,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","CRP",-7e-04,0.9722,-0.2474,0.5662,-0.0017,0.003,75,0.5732,"TRUE",0.9759918,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","ApoB",-0.1093,0.5023,-3.5887,0.301,0.0303,0.0209,72.94,0.1523,"FALSE",0.9457531,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","HDL_LDL",9e-04,0.3828,0.0343,0.129,1e-04,2e-04,76,0.4059,"FALSE",0.9457531,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.32","Chol_T_HDL",-0.0056,0.4172,-0.2992,0.0448,-0.0012,0.001,75.96,0.2254,"FALSE",0.9457531,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.33","SBP",0.0566,0.6746,-2.7751,0.3221,-0.0042,0.0284,61,0.8832,"TRUE",0.9943904,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","DBP",-0.0286,0.7254,-0.822,0.6262,0.0103,0.0172,61,0.5509,"TRUE",0.9759918,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","Insulin",-0.0215,0.7433,-0.4611,0.7348,-5e-04,0.0137,75,0.9687,"TRUE",0.9996524,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","Chol_T",-0.3336,0.2446,-4.6574,0.4359,0.0132,0.0519,73.95,0.8003,"FALSE",0.9851732,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","TG",-0.3665,0.4899,-15.4029,0.1658,0.1175,0.1073,76,0.2773,"TRUE",0.9457531,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","LDL",-0.2763,0.206,-3.965,0.3824,0.0093,0.044,76,0.8339,"TRUE",0.9851732,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","HDL",0.0335,0.6814,2.577,0.1349,-0.0241,0.0164,75.98,0.1451,"FALSE",0.9457531,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","CRP",-0.0067,0.7431,-0.2672,0.5301,0.0067,0.0043,75,0.1189,"TRUE",0.9457531,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","ApoB",-0.1341,0.4232,-3.6979,0.2931,0.0046,0.0302,70.02,0.8784,"FALSE",0.9923888,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","HDL_LDL",0.001,0.3617,0.0344,0.1314,-1e-04,2e-04,75.93,0.4958,"FALSE",0.9576994,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.33","Chol_T_HDL",-0.0069,0.3123,-0.3,0.03991,0.0022,0.0013,75.97,0.1127,"FALSE",0.9457531,"PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.34","SBP",0.0633,0.6365,-2.7467,0.3256,-0.0154,0.0339,61,0.651,"TRUE",0.9759918,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","DBP",-0.0081,0.9204,-0.6939,0.6799,-0.0156,0.0205,61,0.4507,"TRUE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","Insulin",0.0029,0.9629,-0.7843,0.5486,-0.0403,0.0152,75,0.009666,"TRUE",0.6601935,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","Chol_T",-0.3035,0.2831,-4.8899,0.4119,-0.0291,0.0646,70.32,0.6541,"FALSE",0.9759918,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","TG",-0.3864,0.4577,-13.3521,0.2258,0.2233,0.1274,76,0.08371,"TRUE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","LDL",-0.2307,0.2819,-4.5028,0.3197,-0.0625,0.0524,76,0.237,"TRUE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","HDL",0.0243,0.7624,2.353,0.169,-0.0232,0.0197,76,0.2429,"TRUE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","CRP",-0.0023,0.9087,-0.208,0.63,0.0044,0.005,75,0.3799,"TRUE",0.9457531,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","ApoB",-0.1169,0.4818,-3.8451,0.2762,-0.0205,0.037,72.74,0.5809,"FALSE",0.9759918,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","HDL_LDL",8e-04,0.4522,0.0349,0.1272,1e-04,3e-04,66.25,0.7676,"FALSE",0.9793208,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.34","Chol_T_HDL",-0.0053,0.4416,-0.2919,0.04935,7e-04,0.0017,66.2,0.673,"FALSE",0.9759918,"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.35","SBP",0.0497,0.7072,-2.8608,0.3073,-0.0061,0.0214,61,0.7749,"TRUE",0.9802088,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","DBP",-0.0147,0.8535,-0.6713,0.6905,0.0086,0.0129,61,0.5054,"TRUE",0.9620069,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","Insulin",-0.0193,0.7619,-0.3658,0.7883,0.007,0.0097,75,0.4766,"TRUE",0.9473774,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","Chol_T",-0.3204,0.2585,-4.6095,0.4432,0.0024,0.0389,75.9,0.9515,"FALSE",0.9996524,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","TG",-0.2612,0.6192,-15.524,0.1682,-0.0146,0.0801,76,0.856,"TRUE",0.9883812,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","LDL",-0.2718,0.2056,-4.1086,0.3681,-0.01,0.0326,76,0.7595,"TRUE",0.9776186,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","HDL",0.0123,0.8798,2.6168,0.1373,0.004,0.0123,74.66,0.7456,"FALSE",0.9765139,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","CRP",5e-04,0.9807,-0.2398,0.5809,2e-04,0.0031,75,0.9361,"TRUE",0.9996524,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","ApoB",-0.1293,0.4326,-3.6788,0.2966,2e-04,0.0222,74.65,0.9918,"FALSE",0.9996524,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","HDL_LDL",9e-04,0.4047,0.0354,0.1212,1e-04,2e-04,75.2,0.6321,"FALSE",0.9759918,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.35","Chol_T_HDL",-0.0049,0.4678,-0.3004,0.04336,-2e-04,0.001,75.15,0.8745,"FALSE",0.9923888,"C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.36","SBP",0.0365,0.7793,-2.8485,0.3001,0.0403,0.0273,61,0.1455,"TRUE",0.9457531,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","DBP",-0.0288,0.7147,-0.7791,0.6385,0.0249,0.0166,61,0.138,"TRUE",0.9457531,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","Insulin",-0.0323,0.6134,-0.6355,0.6392,0.0164,0.0135,75,0.2296,"TRUE",0.9457531,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","Chol_T",-0.3094,0.2758,-4.4477,0.4581,-0.0209,0.0529,71.27,0.6937,"FALSE",0.9759918,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","TG",-0.3214,0.5404,-16.373,0.143,0.1151,0.1104,76,0.3003,"TRUE",0.9457531,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","LDL",-0.2552,0.2365,-3.7596,0.4088,-0.0213,0.0452,76,0.6392,"TRUE",0.9759918,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","HDL",0.0203,0.802,2.7123,0.1198,-0.0168,0.0169,75.71,0.3246,"FALSE",0.9457531,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","CRP",-0.0031,0.8785,-0.3021,0.4825,0.0056,0.0043,75,0.197,"TRUE",0.9457531,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","ApoB",-0.1153,0.4884,-3.4278,0.3334,-0.023,0.0299,68.99,0.4446,"FALSE",0.9457531,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","HDL_LDL",9e-04,0.3766,0.0355,0.115,-1e-04,2e-04,75.5,0.5167,"FALSE",0.968497,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.36","Chol_T_HDL",-0.0052,0.445,-0.3035,0.04058,6e-04,0.0014,75.33,0.6741,"FALSE",0.9759918,"C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.37","SBP",0.0465,0.7219,-3.0183,0.2768,0.0297,0.0259,61,0.2554,"TRUE",0.9457531,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.37","DBP",-0.0235,0.7655,-0.9142,0.5829,0.0225,0.0156,61,0.1531,"TRUE",0.9457531,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.37","Insulin",-0.0196,0.7601,-0.4669,0.731,0.0061,0.0119,75,0.6085,"TRUE",0.9759918,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.37","Chol_T",-0.2674,0.2994,-4.6635,0.3919,0.1159,0.0456,75.96,0.01299,"FALSE",0.7724465,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.37","TG",-0.1802,0.7259,-15.4016,0.1595,0.1814,0.0957,76,0.0618,"TRUE",0.9457531,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.37","LDL",-0.2353,0.2609,-3.9995,0.3661,0.0781,0.0388,76,0.04784,"TRUE",0.9337687,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.37","HDL",0.0147,0.8554,2.5508,0.1417,0.0099,0.015,75.76,0.5098,"FALSE",0.9651569,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.37","CRP",1e-04,0.9946,-0.2429,0.5741,-6e-04,0.0038,75,0.8668,"TRUE",0.9922331,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.37","ApoB",-0.1051,0.5012,-3.724,0.2641,0.055,0.0259,73.47,0.03724,"FALSE",0.9337687,"LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
